Date,Open,High,Low,Close,Adj Close,Volume
2019-01-14,0.872390,0.873240,0.870800,0.872590,0.872590,0
2019-01-15,0.871600,0.878260,0.870200,0.871620,0.871620,0
2019-01-16,0.876110,0.878820,0.875480,0.875900,0.875900,0
2019-01-17,0.877270,0.879320,0.876600,0.877340,0.877340,0
2019-01-18,0.877820,0.880730,0.876400,0.877760,0.877760,0
2019-01-21,0.879860,0.880440,0.878100,0.879850,0.879850,0
2019-01-22,0.879540,0.882080,0.879100,0.879560,0.879560,0
2019-01-23,0.879990,0.880930,0.877720,0.879970,0.879970,0
2019-01-24,0.878190,0.883920,0.877700,0.878100,0.878100,0
2019-01-25,0.884180,0.884500,0.876300,0.883900,0.883900,0
2019-01-28,0.876220,0.877890,0.873700,0.876190,0.876190,0
2019-01-29,0.874910,0.876290,0.873320,0.874890,0.874890,0
2019-01-30,0.874500,0.876530,0.873340,0.874480,0.874480,0
2019-01-31,0.870660,0.873320,0.868530,0.870500,0.870500,0
2019-02-01,0.873300,0.874500,0.870440,0.873400,0.873400,0
2019-02-04,0.872810,0.875240,0.872400,0.872960,0.872960,0
2019-02-05,0.874450,0.876940,0.873900,0.874410,0.874410,0
2019-02-06,0.876520,0.879090,0.876350,0.876430,0.876430,0
2019-02-07,0.879790,0.882920,0.879500,0.879820,0.879820,0
2019-02-08,0.881840,0.883250,0.880980,0.881930,0.881930,0
2019-02-11,0.883060,0.887040,0.882500,0.883060,0.883060,0
2019-02-12,0.886500,0.888190,0.883400,0.886600,0.886600,0
2019-02-13,0.882400,0.886300,0.881500,0.882250,0.882250,0
2019-02-14,0.887780,0.888840,0.884310,0.887710,0.887710,0
2019-02-15,0.885370,0.890080,0.885100,0.885320,0.885320,0
2019-02-18,0.885360,0.885360,0.882290,0.885110,0.885110,0
2019-02-19,0.884010,0.886760,0.881690,0.884020,0.884020,0
2019-02-20,0.881600,0.882930,0.879540,0.881600,0.881600,0
2019-02-21,0.881340,0.883190,0.879830,0.881340,0.881340,0
2019-02-22,0.881850,0.883490,0.880610,0.881600,0.881600,0
2019-02-25,0.881820,0.881990,0.879700,0.881660,0.881660,0
2019-02-26,0.879800,0.881330,0.878840,0.879700,0.879700,0
2019-02-27,0.877640,0.879980,0.876900,0.877720,0.877720,0
2019-02-28,0.878900,0.880220,0.875500,0.878720,0.878720,0
2019-03-01,0.879310,0.880720,0.876510,0.879240,0.879240,0
2019-03-04,0.879100,0.884130,0.879100,0.879050,0.879050,0
2019-03-05,0.881970,0.885490,0.881900,0.882040,0.882040,0
2019-03-06,0.884470,0.885610,0.883000,0.884400,0.884400,0
2019-03-07,0.883980,0.892160,0.883400,0.883860,0.883860,0
2019-03-08,0.892700,0.893970,0.889320,0.892990,0.892990,0
2019-03-11,0.890390,0.891060,0.888300,0.890280,0.890280,0
2019-03-12,0.888190,0.888870,0.885400,0.888160,0.888160,0
2019-03-13,0.885990,0.886600,0.883880,0.885940,0.885940,0
2019-03-14,0.882390,0.885370,0.882150,0.882530,0.882530,0
2019-03-15,0.884360,0.884780,0.881600,0.884300,0.884300,0
2019-03-18,0.883400,0.890100,0.880300,0.883410,0.883410,0
2019-03-19,0.882180,0.882280,0.880000,0.882130,0.882130,0
2019-03-20,0.880820,0.882110,0.879700,0.880680,0.880680,0
2019-03-21,0.874890,0.880660,0.874130,0.875050,0.875050,0
2019-03-22,0.879200,0.886870,0.877800,0.879120,0.879120,0
2019-03-25,0.885260,0.885700,0.882480,0.885280,0.885280,0
2019-03-26,0.883820,0.886560,0.882700,0.883720,0.883720,0
2019-03-27,0.886960,0.889470,0.886090,0.886930,0.886930,0
2019-03-28,0.888780,0.891650,0.887863,0.888750,0.888750,0
2019-03-29,0.890510,0.891990,0.889200,0.890470,0.890470,0
2019-04-01,0.890990,0.892070,0.888870,0.890960,0.890960,0
2019-04-02,0.892380,0.894090,0.891742,0.892400,0.892400,0
2019-04-03,0.892630,0.892660,0.888494,0.892550,0.892550,0
2019-04-04,0.889260,0.892120,0.888900,0.889130,0.889130,0
2019-04-05,0.890900,0.891930,0.889560,0.890800,0.890800,0
2019-04-08,0.891100,0.891620,0.886990,0.891300,0.891300,0
2019-04-09,0.888380,0.888380,0.885900,0.888380,0.888380,0
2019-04-10,0.887710,0.890390,0.886300,0.887550,0.887550,0
2019-04-11,0.886830,0.888410,0.885940,0.886800,0.886800,0
2019-04-12,0.888150,0.888230,0.883000,0.888040,0.888040,0
2019-04-15,0.884670,0.885000,0.883200,0.884560,0.884560,0
2019-04-16,0.884610,0.886050,0.883783,0.884570,0.884570,0
2019-04-17,0.886120,0.886380,0.883100,0.886130,0.886130,0
2019-04-18,0.884900,0.889860,0.884486,0.885180,0.885180,0
2019-04-19,0.889990,0.890230,0.888800,0.890000,0.890000,0
2019-04-22,0.889320,0.889940,0.887800,0.889320,0.889320,0
2019-04-23,0.888190,0.893380,0.888000,0.888180,0.888180,0
2019-04-24,0.890910,0.894210,0.890900,0.890920,0.890920,0
2019-04-25,0.896300,0.899140,0.895736,0.896580,0.896580,0
2019-04-26,0.897900,0.899040,0.895030,0.897920,0.897920,0
2019-04-29,0.896940,0.897220,0.895260,0.896840,0.896840,0
2019-04-30,0.894120,0.894730,0.890500,0.894040,0.894040,0
2019-05-01,0.891400,0.891710,0.888890,0.891580,0.891580,0
2019-05-02,0.892710,0.894970,0.891410,0.892790,0.892790,0
2019-05-03,0.895050,0.897560,0.892800,0.894970,0.894970,0
2019-05-06,0.893890,0.894460,0.892500,0.893990,0.893990,0
2019-05-07,0.892500,0.894770,0.891300,0.892710,0.892710,0
2019-05-08,0.893690,0.893690,0.891663,0.893570,0.893570,0
2019-05-09,0.893060,0.894800,0.888810,0.892990,0.892990,0
2019-05-10,0.891380,0.891380,0.888700,0.891100,0.891100,0
2019-05-13,0.889940,0.890940,0.887830,0.889960,0.889960,0
2019-05-14,0.890280,0.892470,0.889200,0.890270,0.890270,0
2019-05-15,0.892570,0.894420,0.891050,0.892500,0.892500,0
2019-05-16,0.892100,0.894910,0.890920,0.892280,0.892280,0
2019-05-17,0.894870,0.896270,0.894100,0.894970,0.894970,0
2019-05-20,0.895630,0.896760,0.894694,0.895630,0.895630,0
2019-05-21,0.895300,0.897470,0.894200,0.895370,0.895370,0
2019-05-22,null,null,null,null,null,null
2019-05-23,0.896450,0.900130,0.895030,0.896420,0.896420,0
2019-05-24,0.894150,0.894610,0.891900,0.894090,0.894090,0
2019-05-27,0.892350,0.893810,0.891400,0.892090,0.892090,0
2019-05-28,0.893370,0.895110,0.892900,0.893350,0.893350,0
2019-05-29,0.895200,0.898800,0.894800,0.895200,0.895200,0
2019-05-30,0.897800,0.899400,0.897180,0.897880,0.897880,0
2019-05-31,0.898480,0.898750,0.894500,0.898380,0.898380,0
2019-06-03,0.894980,0.895880,0.891981,0.894930,0.894930,0
2019-06-04,0.889240,0.890650,0.886700,0.889180,0.889180,0
2019-06-05,0.888490,0.889690,0.884600,0.888570,0.888570,0
2019-06-06,0.890690,0.890960,0.884340,0.890550,0.890550,0
2019-06-07,0.886880,0.888640,0.881200,0.886800,0.886800,0
2019-06-10,0.883470,0.885580,0.882850,0.883380,0.883380,0
2019-06-11,0.883520,0.884580,0.882400,0.883540,0.883540,0
2019-06-12,0.882660,0.884290,0.881600,0.882650,0.882650,0
2019-06-13,0.885500,0.887220,0.884564,0.885300,0.885300,0
2019-06-14,0.886560,0.891660,0.885700,0.886490,0.886490,0
2019-06-17,0.891580,0.892430,0.889205,0.891500,0.891500,0
2019-06-18,0.890700,0.894270,0.889363,0.890900,0.890900,0
2019-06-19,0.893060,0.893760,0.891100,0.893000,0.893000,0
2019-06-20,0.890010,0.890010,0.883770,0.889800,0.889800,0
2019-06-21,0.885490,0.886240,0.882350,0.885300,0.885300,0
2019-06-24,0.878500,0.879210,0.877100,0.878370,0.878370,0
2019-06-25,0.877180,0.878860,0.876120,0.877170,0.877170,0
2019-06-26,0.879620,0.880990,0.878000,0.879510,0.879510,0
2019-06-27,0.879150,0.881180,0.878500,0.879140,0.879140,0
2019-06-28,0.879400,0.880180,0.877700,0.879280,0.879280,0
2019-07-01,0.880000,0.884510,0.879700,0.879900,0.879900,0
2019-07-02,0.885970,0.886780,0.883310,0.885940,0.885940,0
2019-07-03,0.885670,0.887280,0.884540,0.885500,0.885500,0
2019-07-04,0.885900,0.886970,0.885100,0.885900,0.885900,0
2019-07-05,0.886050,0.892200,0.885900,0.886070,0.886070,0
2019-07-08,0.890640,0.892190,0.889900,0.890680,0.890680,0
2019-07-09,0.891680,0.893230,0.891100,0.891580,0.891580,0
2019-07-10,0.892490,0.892650,0.887863,0.892200,0.892200,0
2019-07-11,0.888000,0.888750,0.885900,0.888190,0.888190,0
2019-07-12,0.888870,0.889700,0.886682,0.888700,0.888700,0
2019-07-15,0.887170,0.888440,0.886054,0.887150,0.887150,0
2019-07-16,0.888030,0.892140,0.887600,0.887960,0.887960,0
2019-07-17,0.891800,0.892770,0.890200,0.891880,0.891880,0
2019-07-18,0.890650,0.892360,0.889100,0.890500,0.890500,0
2019-07-19,0.887980,0.891660,0.887200,0.887980,0.887980,0
2019-07-22,0.891420,0.892190,0.890700,0.891400,0.891400,0
2019-07-23,0.892460,0.896890,0.892000,0.892370,0.892370,0
2019-07-24,0.896780,0.898470,0.896400,0.896760,0.896760,0
2019-07-25,0.897480,0.900590,0.893900,0.897470,0.897470,0
2019-07-26,0.897250,0.899630,0.896600,0.897170,0.897170,0
2019-07-29,0.898400,0.899730,0.897300,0.898300,0.898300,0
2019-07-30,0.897490,0.898210,0.896210,0.897420,0.897420,0
2019-07-31,0.896270,0.898650,0.895700,0.896220,0.896220,0
2019-08-01,0.903160,0.906820,0.903100,0.903200,0.903200,0
2019-08-02,0.902380,0.903280,0.899750,0.902620,0.902620,0
2019-08-05,0.900300,0.900300,0.892900,0.900250,0.900250,0
2019-08-06,0.889470,0.895200,0.888910,0.889380,0.889380,0
2019-08-07,0.892390,0.894380,0.889601,0.892300,0.892300,0
2019-08-08,0.892470,0.894100,0.890600,0.892510,0.892510,0
2019-08-09,0.893870,0.894130,0.891280,0.893880,0.893880,0
2019-08-12,0.892310,0.895790,0.890450,0.892180,0.892180,0
2019-08-13,0.891400,0.894600,0.890610,0.891400,0.891400,0
2019-08-14,0.894650,0.897670,0.893575,0.894690,0.894690,0
2019-08-15,0.897260,0.901260,0.896138,0.897400,0.897400,0
2019-08-16,0.899980,0.903550,0.899800,0.899800,0.899800,0
2019-08-19,0.901400,0.901860,0.900090,0.901400,0.901400,0
2019-08-20,0.902320,0.903430,0.900982,0.902270,0.902270,0
2019-08-21,0.901020,0.901810,0.900300,0.901080,0.901080,0
2019-08-22,0.901680,0.903790,0.899766,0.901650,0.901650,0
2019-08-23,0.902260,0.904732,0.896941,0.902200,0.902200,0
2019-08-26,0.897420,0.900220,0.896660,0.897420,0.897420,0
2019-08-27,0.900810,0.901810,0.899400,0.900600,0.900600,0
2019-08-28,0.901710,0.902980,0.900900,0.901710,0.901710,0
2019-08-29,0.902090,0.904470,0.901700,0.902050,0.902050,0
2019-08-30,0.904190,0.910150,0.904080,0.904000,0.904000,0
2019-09-02,0.909840,0.912510,0.909300,0.909770,0.909770,0
2019-09-03,0.911800,0.914880,0.910970,0.911700,0.911700,0
2019-09-04,0.911280,0.911350,0.906208,0.911200,0.911200,0
2019-09-05,0.906000,0.907580,0.902300,0.906210,0.906210,0
2019-09-06,0.906100,0.907340,0.904370,0.906100,0.906100,0
2019-09-09,0.907380,0.907760,0.903730,0.907390,0.907390,0
2019-09-10,0.905200,0.906470,0.904200,0.905110,0.905110,0
2019-09-11,0.905000,0.910230,0.904300,0.904950,0.904950,0
2019-09-12,0.907900,0.914950,0.902730,0.907980,0.907980,0
2019-09-13,0.904350,0.904350,0.900160,0.904300,0.904300,0
2019-09-16,0.902190,0.909510,0.902180,0.902250,0.902250,0
2019-09-17,0.908760,0.909680,0.903500,0.908600,0.908600,0
2019-09-18,0.902990,0.906000,0.902700,0.902960,0.902960,0
2019-09-19,0.906500,0.907150,0.902935,0.906500,0.906500,0
2019-09-20,0.905300,0.909190,0.903424,0.905100,0.905100,0
2019-09-23,0.907480,0.911720,0.906780,0.907520,0.907520,0
2019-09-24,0.909610,0.910320,0.907940,0.909610,0.909610,0
2019-09-25,0.907800,0.913380,0.907500,0.907700,0.907700,0
2019-09-26,0.913090,0.915320,0.911800,0.913000,0.913000,0
